Facility Name,Company,Facility Type,Facility Detail,Capacity,Railroads,Port,Car Spot,latitude,longitude
St Ansgar,Absolute Energy,Ethanol Plant,,125 Million Gallons,,,,43.4976,-92.9535
Stanley,Ace Ethanol LLC,Ethanol Plant,,52 Million Gallons,,,,44.9587,-90.9609
Lena,Adkins Energy LLC,Ethanol Plant,,60 Million Gallons,,,,42.3617,-89.8038
Marshall,ADM,Ethanol Plant,,48 Million Gallons,,,,44.4748,-95.7796
Decatur,ADM ,Ethanol Plant,,375 Million Gallons,,,,39.8635,-88.8896
Cedar Rapids,ADM Cedar Rapids IA Wet Mill,Ethanol Plant,,240 Million Gallons,,,,41.929,-91.6885
Clinton,ADM Clinton IA,Ethanol Plant,,237 Million Gallons,,,,41.8173,-90.2162
Columbus,ADM Columbus Wet Mill,Ethanol Plant,,100 Million Gallons,,,,41.4153,-97.2869
Keyes,Aemetis Advanced Fuels Keys Inc,Ethanol Plant,,70 Million Gallons,,,,37.553,-120.9158
Claremont,Al-Corn Clean Fuel,Ethanol Plant,,130 Million Gallons,,,,44.0508,-93.0175
Boardman,Alto Columbia LLC,Ethanol Plant,,40 Million Gallons,,,,45.8551,-119.6552
Pekin,Alto ICP LLC,Ethanol Plant,,82 Million Gallons,,,,40.555,-89.6698
Burley,Alto Magic Valley Ethanol,Ethanol Plant,,60 Million Gallons,,,,42.5213,-113.8153
Pekin,Alto Pekin LLC Dry Mill,Ethanol Plant,,63 Million Gallons,,,,40.5534,-89.6631
Pekin,Alto Pekin LLC Wet Mill,Ethanol Plant,,100 Million Gallons,,,,40.5534,-89.6631
Phillipsburg,Amber Wave,Ethanol Plant,,50 Million Gallons,,,,39.7608,-99.3062
Liberal,Arkalon Ethanol LLC,Ethanol Plant,,110 Million Gallons,,,,37.1077,-100.7981
Jefferson,Aztalan Bio LLC,Ethanol Plant,,106 Million Gallons,,,,43.0351,-88.7916
Monroe,Badger State Ethanol LLC,Ethanol Plant,,94 Million Gallons,,,,42.5946,-89.6668
Boyceville,Big River Resources Boyceville LLC,Ethanol Plant,,70 Million Gallons,,,,45.049,-91.9764
Galva,Big River Resources Galva LLC,Ethanol Plant,,140 Million Gallons,,,,41.1642,-90.0271
West Burlington,Big River Resources West Burlington LLC,Ethanol Plant,,130 Million Gallons,,,,40.8314,-91.2219
Dyersville,Big River United Energy LLC,Ethanol Plant,,140 Million Gallons,,,,42.4874,-91.1634
Peoria ,Biourja Renewables LLC,Ethanol Plant,,61 Million Gallons,,,,40.6776,-89.607
Underwood,Blue Flint Ethanol LLC,Ethanol Plant,,76 Million Gallons,,,,47.3769,-101.1523
Garden City,Bonanza Bioenergy LLC,Ethanol Plant,,74 Million Gallons,,,,37.9586,-100.8367
Bridgeport,Bridgeport Ethanol LLC,Ethanol Plant,,60 Million Gallons,,,,41.6435,-103.0789
Atwater,Bushmills Ethanol Inc,Ethanol Plant,,90 Million Gallons,,,,45.137,-94.8044
Pixley,Calgren Renewable Fuels LLC,Ethanol Plant,,55 Million Gallons,,,,35.998,-119.3039
Lake Odessa,Carbon Green Bioenergy LLC,Ethanol Plant,,59 Million Gallons,,,,42.7646,-85.0782
Union City,Cardinal Ethanol LLC,Ethanol Plant,,136 Million Gallons,,,,40.1848,-84.8632
Blair,Cargill Inc,Ethanol Plant,,210 Million Gallons,,,,41.5345,-96.1039
Eddyville,Cargill Inc,Ethanol Plant,,71 Million Gallons,,,,41.1417,-92.6411
Ft Dodge,Cargill Inc,Ethanol Plant,,130 Million Gallons,,,,42.5091,-94.3138
Coshocton,CE Acquisitions Co LLC,Ethanol Plant,,50 Million Gallons,,,,40.2147,-81.8645
Marion,Central Indiana Ethanol,Ethanol Plant,,50 Million Gallons,,,,40.5644,-85.7283
Hastings,Chief Ethanol Fuels Inc,Ethanol Plant,,70 Million Gallons,,,,40.5824,-98.3175
Lexington,Chief Ethanol Fuels Inc,Ethanol Plant,,52 Million Gallons,,,,40.7669,-99.7225
Benson,Chippewa Valley Ethanol Co LLLP,Ethanol Plant,,50 Million Gallons,,,,45.3256,-95.6374
Norfolk,CIE Norfolk GNS LLC,Ethanol Plant,,60 Million Gallons,,,,42.0677,-97.3846
Hopkinsville,Commonwealth Agri-Energy,Ethanol Plant,,49 Million Gallons,,,,36.8145,-87.4126
Goldfield,Corn LP,Ethanol Plant,,80 Million Gallons,,,,42.7338,-93.9118
Wentworth,Dakota Ethanol LLC,Ethanol Plant,,100 Million Gallons,,,,43.9739,-96.9575
Spiritwood,Dakota Spirit Agenergy,Ethanol Plant,,80 Million Gallons,,,,46.9258,-98.5004
Morris,Denco II LLC,Ethanol Plant,,30 Million Gallons,,,,45.5747,-95.9119
Johnson Creek,Didion Ethanol LLC,Ethanol Plant,,54 Million Gallons,,,,43.5382,-89.1006
Bristol,Dynamic Recycling LLC,Ethanol Plant,,4 Million Gallons,,,,36.5613,-82.1707
Adams,E Energy Adams LLC,Ethanol Plant,,101 Million Gallons,,,,40.4858,-96.5477
Garnett,East Kansas Agri-Energy LLC,Ethanol Plant,,48 Million Gallons,,,,38.272,-95.2403
Atlantic,Elite Octane LLC,Ethanol Plant,,175 Million Gallons,,,,41.421,-95.031
Oshkosh,Fox River Valley Ethanol LLC,Ethanol Plant,,64 Million Gallons,,,,43.981,-88.6516
Windsor,Front Range Energy LLC,Ethanol Plant,,46 Million Gallons,,,,40.4571,-104.8598
Mina,Glacial Lakes Energy,Ethanol Plant,,162 Million Gallons,,,,45.4426,-98.784
Watertown,Glacial Lakes Energy,Ethanol Plant,,148 Million Gallons,,,,44.8769,-97.1137
Mason City,Golden Grain Energy LLC,Ethanol Plant,,140 Million Gallons,,,,43.1166,-93.2297
Craig,Golden Triangle Energy LLC,Ethanol Plant,,21 Million Gallons,,,,40.1897,-95.3681
Muscatine,Grain Processing Corp,Ethanol Plant,,83 Million Gallons,,,,41.4003,-91.0632
Washington,Grain Processing Corp,Ethanol Plant,,37 Million Gallons,,,,38.6362,-87.2223
Granite Falls,Granite Falls Energy LLC,Ethanol Plant,,63 Million Gallons,,,,44.8,-95.4869
Ord,Green America Biofuels Ord LLC,Ethanol Plant,,68 Million Gallons,,,,41.6056,-98.9281
Central City,Green Plains Central City LLC,Ethanol Plant,,135 Million Gallons,,,,41.1116,-97.9763
Fairmont,Green Plains Fairmont LLC,Ethanol Plant,,123 Million Gallons,,,,43.6649,-94.4987
