Sensor Name,Latitude,Longitude
"Albertine, NB",47.28646,-68.43876
"Albion, BC",49.18985,-122.57121
"Aldona, AZ",32.15727,-110.96186
"Alfalfa, TX",31.77451,-106.43866
"Alliston, ON", 44.149793,-79.863239
"Amelia, TX",30.06560,-94.20877
"Asquith CN, SK", 52.120195,-107.215504
"Asquith CP, SK", 52.134866,-107.233888
"Audley, ON",43.89027,-79.07298
"Batiscan, QC",46.57117,-72.21405
"Bedford, NS",44.76066,-63.62302
"Belen, NM",34.67049,-106.77061
"Bend, OR",44.11547,-121.28948
"Benson, AZ",31.96942,-110.29673
"Birch Ridge, NB", 46.402599,-65.188839
"Blaine, WA", 48.996995,-122.752902
"Boron N, CA",34.99891,-117.64671
"Bovina, TX",34.52130,-102.88942
"Brampton, ON", 43.687977,-79.759866
"Brooks, AB", 50.563576,-111.906726
"Buford, TX",31.66198,-106.28972
"Cainsville, ON", 43.143888,-80.198003
"Camden, MO",39.19552,-94.02388
"Campaign, AB",52.02205,-113.96133
"Campbell Park, AB", 53.617965,-113.564658
"Carman Jct, MB", 49.840152,-97.308430
"Carney's Spur, BC",50.85004,-118.95947
"Carney's Spur, BC Top",50.85004,-118.95947
"Carteret, NJ",40.57359,-74.24565
"Ceramics, NJ",40.55765,-74.32546
"Charny, PQ", 46.717724,-71.269638
"Chase, BC",50.82200222,-119.6897902
"Chelmsford, ON", 46.583014,-81.187442
"Chetwynd, BC",55.69772,-121.62468
"Chilliwack, BC",49.15957,-121.97128
"Chipman, NB", 46.176952,-65.877994
"Churchbridge, SK",50.89588,-101.88854
"Coalhurst, AB",49.74536,-112.93796
"Cochrane, AB", 51.194919,-114.481912
"Cold Springs, OR",45.85739,-119.19913
"Colebrook, BC",49.10076,-122.89732
"Connell, TX",30.10153,-94.00699
"Copetown, ON",43.24423,-80.06059
"Cox, BC",49.12359,-122.23317
"Coxsackie, NY",42.36322,-73.81548
"Crabb, TX",29.56999,-95.76605
"Craven, SK", 50.706474,-104.811125
"Delson, PQ",45.37568,-73.57933
"Delta, BC",49.08227,-122.95669
"Devlin, ON",48.61471,-93.62876
"Dewdney, BC",  49.164076,-122.196086
"Diamond, MB", 49.837356,-97.367551
"Dona Aana, NM",32.36791,-106.81810
"Donnacona, PQ", 46.683968,-71.817596
"Douville, QC",45.61707,-72.99917
"Drynoch, BC",50.37779,-121.39829
"Dugald, MB", 49.885104,-96.764102
"Dundurn, SK",51.87552,-106.51149
"Dunster, BC",53.12382,-119.83737
"E Mexico Rail, TX",27.55344,-99.50819
"E St John, OR",45.61170,-122.70669
"Eagle Pass, TX",28.70505,-100.49860
"East Palestine S, OH",40.84511,-80.61197
"East Palistine N, OH",40.83730,-80.55891
"Echo, OR",45.74450,-119.19588
"Edgeley, SK",50.63804,-103.99382
"Edgerton, KS",38.76455,-95.00597
"Edmonton Tfr, AB", 53.485462,-113.491178
"Edwardsville N, KS",39.06069,-94.80745
"Edwardsville S, KS",39.06084,-94.81989
"El Paso (Dallas St), TX",31.76653,-106.46740
"El Paso, TX",31.77516,-106.45134
"Elizabeth, TX",30.07539,-94.18556
"Elkview, BC",49.74717,-114.88345
"Ernestown, ON", 44.216773,-76.754576
"Eugene, OR",44.05714,-123.10443
"Fernie, BC",49.50175,-115.06174
